Ref,Val,Package,PosX,PosY,Rot,Side
"C3","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-74.676000,28.956000,0.000000,bottom
"C4","0.47u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-68.072000,23.286000,-90.000000,bottom
"C5","0.47u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-74.676000,26.080000,180.000000,bottom
"C6","2.2u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-64.770000,23.286000,90.000000,bottom
"C9","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-69.088000,35.138000,90.000000,bottom
"C10","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-68.834000,40.808000,-90.000000,bottom
"C11","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-52.429500,32.004000,180.000000,bottom
"C12","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-65.595000,27.985000,90.000000,bottom
"R3","2.21k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-74.231000,21.508000,180.000000,bottom
"R9","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-72.644000,36.068000,180.000000,bottom
"R10","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-72.644000,39.878000,0.000000,bottom
"R11","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-75.946000,35.052000,90.000000,bottom
"R12","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-75.946000,41.910000,-90.000000,bottom
"R13","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-14.732000,9.398000,0.000000,bottom
"R14","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-23.876000,9.398000,0.000000,bottom
"R15","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-33.020000,9.398000,0.000000,bottom
"R16","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-44.974000,9.398000,0.000000,bottom
"R17","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-51.324000,9.398000,0.000000,bottom
"R18","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-55.642000,9.398000,180.000000,bottom
"R19","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-64.786000,9.398000,180.000000,bottom
"R20","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-73.914000,9.398000,180.000000,bottom
"R21","150k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-71.321000,23.794000,0.000000,bottom
"R22","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-70.421000,20.608000,90.000000,bottom
"U1","MAX9814","TDFN-14-1EP_3x3mm_P0.4mm_EP1.78x2.35mm_ThermalVias",-69.850000,27.178000,0.000000,bottom
"U2","74HCT245","TSSOP-20_4.4x6.5mm_P0.65mm",-55.626000,27.178000,180.000000,bottom
